source,target,relationship_type,trial_id,confidence,evidence_text,direction,temporal_marker,attributes
Sebille,Didier Marsellot,CHILD_OF,w083,1.0,Sebille fille de Didier Marsellot,directed,,{}
Claudet,Claude Cabled,CHILD_OF,w085,1.0,Claudet fils de Claude Cabled de la Neufville,directed,,{}
Guennotte,Jean Louys,CHILD_OF,w087,1.0,Guennotte fille de Jean Louys tixerant bourgeois de Nenfchatel,directed,,{}
Barthelemy,Jean Molen,CHILD_OF,w087,1.0,Barthelemy fils de Jean Molen,directed,,{}
Anthoine,Berkerhanns,CHILD_OF,w095,1.0,Anthoine fils Berkerhanns,directed,,{}
Jean,Schu Adam,CHILD_OF,w098,1.0,Jean fils Schu Adam,directed,,{}
Jean,Jacques Woitsch,CHILD_OF,w098,1.0,Jean fils Jacques Woitsch,directed,,{}
Jeannette,Jean Febuatte,CHILD_OF,w111,1.0,Jeannette fille Jean Febuatte de la Vieville,directed,,{}
Jeannotte,Georgeot Cabled,CHILD_OF,w112,1.0,Jeannotte fille Georgeot Cabled,directed,,{}
Hilaire,George Cabled,CHILD_OF,w112,1.0,Hilaire fils George Cabled,directed,,{}
Didon,Jean Saulnier,CHILD_OF,w113,1.0,Didon fille Jean Saulnier,directed,,{}
Thiery,Claudin Thiery,CHILD_OF,w126,1.0,Thiery fils Claudin Thiery,directed,,{}
Demenge,Demenge Pecry,CHILD_OF,w147,1.0,Demenge fils Demenge Pecry de Sainte Margaree,directed,,{}
Collatte,Colas Chaisne,CHILD_OF,w150,1.0,Collatte fille Colas Chaisne de Ste Margarée,directed,,{}
Jennon,Didier Guillemotte,CHILD_OF,w152,1.0,Jennon fille Didier Guillemotte,directed,,{}
Mengeotte,Gaspard Thirion,CHILD_OF,w152,1.0,Mengeotte fille Gaspard Thirion,directed,,{}
Idoult,Idoult Thiebault,CHILD_OF,w156,1.0,Idoult fils Idoult Thiebault de Clingotte,directed,,{}
Fleuratte,Hidoult Thiebault,CHILD_OF,w156,1.0,Fleuratte fille de Hidoult Thiebault de Clingotte,directed,,{}
Colas,Hidoult Thiebauld,CHILD_OF,w156,1.0,Colas fils de Hidoult Thiebauld de Clingotte,directed,,{}
Claudon,Jean Pierat,CHILD_OF,w156,1.0,Claudon fils de Jean Pierat de Clingotte,directed,,{}
Magdellaine,Hidult Thiebauld,CHILD_OF,w156,1.0,Magdellaine fille de Hidult Thiebauld,directed,,{}
Claudon,Jean Simon,CHILD_OF,w160,1.0,Claudon fils de Jean Simon de la Chapelle,directed,,{}
Jehenne,Jean George,CHILD_OF,w162,1.0,Jehenne fille de Jean George d'Entre-deux-Eaux,directed,,{}
Claudatte,Jacquat Adam,CHILD_OF,w166,1.0,Claudatte fille Jacquat Adam,directed,,{}
Marion,Jean Hanry,CHILD_OF,w166,1.0,Marion fille Jean Hanry,directed,,{}
Pierratte,Henry Colas,CHILD_OF,w168,1.0,Pierratte fille Henry Colas,directed,,{}
Barbon,Demenge,CHILD_OF,w171,1.0,Barbon fille Demenge du Viller,directed,,{}
Henry,Henry,CHILD_OF,w173,1.0,Henry fils Henry,directed,,{}
Jehenne,Colin Lienard,CHILD_OF,w173,1.0,Jehenne fille Colin Lienard,directed,,{}
Colatte,Jean,CHILD_OF,w178,1.0,Colatte fille Jean le maire,directed,,{}
Nicolas,Holbin,CHILD_OF,w179,1.0,Nicolas fils Holbin le Jalley,directed,,{}
Clemence,Parisot Goeury,CHILD_OF,w181,1.0,Clemence fille Parisot Goeury,directed,,{}
Jennon,Mengeon Bastien,CHILD_OF,w184,1.0,Jennon fille Mengeon Bastien,directed,,{}
Catherine,Colas Beurlin,CHILD_OF,w186,1.0,"Catherine fille Colas Beurlin
Losses of various animals",directed,,{}
Dieudonné,Dieudonné,CHILD_OF,w187,1.0,Dieudonné fils Dieudonné du Hault,directed,,{}
Mengeatte,Michiel Jean,CHILD_OF,w190,1.0,Mengeatte fille Michiel Jean le Masson,directed,,{}
Zabel,Jean,CHILD_OF,w190,1.0,Zabel fille Jean de la Dague,directed,,{}
Claudel,Anthoine Claudel,CHILD_OF,w193,1.0,Claudel fils Anthoine Claudel de Hervafain,directed,,{}
Valence,Colas,CHILD_OF,w195,1.0,Valence fille Colas des Roses,directed,,{}
Collatte,Jean Goeury,CHILD_OF,w196,1.0,Collatte fille Jean Goeury,directed,,{}
Claudatte,Claudon,CHILD_OF,w206,1.0,Claudatte fille Claudon de l'Espine,directed,,{}
Jean,Jean Thierion,CHILD_OF,w208,1.0,Jean fils Jean Thierion le vieux,directed,,{}
Jennon,Claudon Jean,CHILD_OF,w208,1.0,Jennon fille Claudon Jean Perrin,directed,,{}
Adam,Jean Didier,CHILD_OF,w226,1.0,Adam fils Jean Didier Jacquemin,directed,,{}
Catherine,Didier Housson,CHILD_OF,w230,1.0,Catherine fille Didier Housson,directed,,{}
Jean,Colas Jean,CHILD_OF,w231,1.0,Jean fils Colas Jean de Bul,directed,,{}
Nicolas,Estienne Aulbry,CHILD_OF,w231,1.0,Nicolas fils Estienne Aulbry,directed,,{}
Clemence,Jean Poulain,CHILD_OF,w234,1.0,Clemence fille Jean Poulain,directed,,{}
Demenge,Jean,CHILD_OF,w241,1.0,"above.
(22) Demenge fils Jean des Mailles",directed,,{}
Martine,Idoul Vigneron,CHILD_OF,w242,1.0,Martine fille Idoul Vigneron,directed,,{}
Pierre,Demenge Piernille,CHILD_OF,w242,1.0,Pierre fils Demenge Piernille,directed,,{}
Colas,Jacot Girard,CHILD_OF,w245,1.0,Colas fils Jacot Girard Pechey,directed,,{}
Sebille,Didier Chottey,CHILD_OF,w247,1.0,Sebille fille Didier Chottey,directed,,{}
Barbelline,Jean Gelliat,CHILD_OF,w251,1.0,Barbelline fille Jean Gelliat,directed,,{}
Margueritte,Nicolas Charrey,CHILD_OF,w254,1.0,Margueritte fille Nicolas Charrey,directed,,{}
Claudatte,Anthoine Jean,CHILD_OF,w261,1.0,Claudatte fille Anthoine Jean Mareschal,directed,,{}
Jean,Anthoine Mareschal,CHILD_OF,w261,1.0,Jean fils Anthoine Mareschal,directed,,{}
Jehennon,Demenge,CHILD_OF,w263,1.0,Jehennon fille Demenge de Mortaigne,directed,,{}
Mengin,George Mengin,CHILD_OF,w263,1.0,Mengin fils George Mengin de la Bolle,directed,,{}
Georgeon,Colas Claude,CHILD_OF,w264,1.0,Georgeon fils Colas Claude Girard de Brehimont,directed,,{}
Mengeon,Colas Jean,CHILD_OF,w267,1.0,Mengeon fils Colas Jean Ferry de la Vacherie,directed,,{}
Marion,Anthoine Colas,CHILD_OF,w275,1.0,Marion fille Anthoine Colas Colin de Mazelay,directed,,{}
Mengeon,Mengeon Gerard,CHILD_OF,w277,1.0,Mengeon fils Mengeon Gerard de la Fosse,directed,,{}
Curien,Claudon Jean,CHILD_OF,w277,1.0,Curien fils de Claudon Jean Claudon du Vivier,directed,,{}
Dieudonne,Noel Gerard,CHILD_OF,w278,1.0,Dieudonne fils de Noel Gerard,directed,,{}
Jehennon,Claudon Agathe,CHILD_OF,w286,1.0,Jehennon fille Claudon Agathe de la Grandefosse,directed,,{}
Jennon,Henry Colas,CHILD_OF,w287,1.0,Jennon fille de Henry Colas Henry de l'Hoste du Bois,directed,,{}
Mengeon,Catherine Gelyat,CHILD_OF,w287,1.0,Mengeon fils de Catherine Gelyat de l'Hoste du Bois,directed,,{}
Anthoine,Jean Claude,CHILD_OF,w287,1.0,Anthoine fils Jean Claude demeurant a la Bourgonce,directed,,{}
Mengeon,Mengeon Francois,CHILD_OF,w291,1.0,Mengeon fils Mengeon Francois de la Fosse,directed,,{}
Jehennon,Jean Vagnier,CHILD_OF,w293,1.0,Jehennon fille Jean Vagnier,directed,,{}
Marguitte,Jean Vagnier,CHILD_OF,w293,1.0,Marguitte fille Jean Vagnier,directed,,{}
Nicolas,Thomas Jean,CHILD_OF,w293,1.0,Nicolas fils Thomas Jean Thomas de la Voeuvre,directed,,{}
Estiennette,Jean Holbin,CHILD_OF,w293,1.0,Estiennette fille Jean Holbin de la Pescherie,directed,,{}
Mengeon,Dieudonné Jean,CHILD_OF,w293,1.0,Mengeon fils Dieudonné Jean Demenge de la Pescherie,directed,,{}
Zabel,Jean Didier,CHILD_OF,w293,1.0,Zabel fille Jean Didier Martin,directed,,{}
Claude,Colas Gardey,CHILD_OF,w301,1.0,Claude fille Colas Gardey de Parroie,directed,,{}
Catherine,Demenge Remy,CHILD_OF,w305,1.0,Catherine fille Demenge Remy,directed,,{}
Gabriel,Demenge Piernille,CHILD_OF,w310,1.0,Gabriel fils Demenge Piernille,directed,,{}
Nicolle,Jean Trichart,CHILD_OF,w312,1.0,Nicolle fille Jean Trichart,directed,,{}
Nicolas,Jean Masson,CHILD_OF,w315,1.0,Nicolas fils Jean Masson le vieux de Mouriviller,directed,,{}
Francois Vicaire,Claude Vicaire,CHILD_OF,w315,1.0,Francois Vicaire fils Claude Vicaire de Mouriviller,directed,,{}
Catherine,Vaultrin Anthoine,CHILD_OF,w315,1.0,Catherine fille Vaultrin Anthoine de Haudouville,directed,,{}
Claudon,Francoise Pieresson,CHILD_OF,w317,1.0,Claudon fils Francoise Pieresson,directed,,{}
Nicole,Nicolas,CHILD_OF,w320,1.0,Nicole fille Nicolas d'Acraigne,directed,,{}
Anne,Claudon Hosel,CHILD_OF,w320,1.0,Anne fille Claudon Hosel boulangier de St Nicolas,directed,,{}
Francoyse,Vaultrin Bigel,CHILD_OF,w320,1.0,Francoyse fille Vaultrin Bigel tailleur,directed,,{}
Jehennon,Didier Regnauldin,CHILD_OF,w320,1.0,Jehennon fille Didier Regnauldin,directed,,{}
Barbe,Jean Humbert,CHILD_OF,w329,1.0,Barbe fille Jean Humbert,directed,,{}
Catherine,Georgeon,CHILD_OF,w333,1.0,Catherine fille Georgeon le Masson,directed,,{}
Mengeatte,Robert,CHILD_OF,w336,1.0,Mengeatte fille Robert le Vert,directed,,{}
