source,target,relationship_type,trial_id,confidence,evidence_text,direction,temporal_marker,attributes
"B 5344 no 1; witch 098, Synnel, femme Hans Stumpff, mulnier d'Amange (this is the",were,NAMED_AS_WITCH,w098,0.8,,directed,,{}
"B 8702 no 11; witch 250, Marguitte Lairain femme Mengeon Moullot de la Vacherie","list
of",NAMED_AS_WITCH,w250,0.8,,directed,,{}
"B 8707 no 5; witch 257, Jennon la Mouratte, femme Bertremin de Laval, de",were,NAMED_AS_WITCH,w257,0.8,,directed,,{}
