source,target,relationship_type,trial_id,confidence,evidence_text,direction,temporal_marker,attributes
Zabel,Olry Go,SPOUSE_OF,w135,1.0,"B 8535 no 3; witch 135, Zabel femme Olry Go de Rozieres",undirected,,{}
Laurence,George Jolbay,SPOUSE_OF,w147,1.0,Witch 147: B8667 no 9: Laurence femme George Jolbay de Ste Margaree,undirected,,{}
Jeanne,Jean Lienard,SPOUSE_OF,w148,1.0,"B 8669 no 1; Witch 148, Jeanne femme Jean Lienard le maimbourg, de Ginfosse",undirected,,{}
Barbeline,Claude Wanesson,SPOUSE_OF,w150,1.0,"B 8669 no 3; Witch 150, Barbeline femme Claude Wanesson, de St Dié",undirected,,{}
Jehennon,Jean Perrin,SPOUSE_OF,w153,1.0,"B 8673 no 2; witch 153, Jehennon femme Jean Perrin de Girovillers-sous-Montfort",undirected,,{}
Barbelline,Jean Girardin,SPOUSE_OF,w157,1.0,"Witch 157: B8677 no 3, Barbelline femme Jean Girardin de Bonipaire",undirected,,{}
Blasotte,Claudon Collon,SPOUSE_OF,w160,1.0,"Witch 160: B8677 no 6, Blasotte femme Claudon Collon de La Chapelle",undirected,,{}
Jehenne,Demenge,SPOUSE_OF,w163,1.0,"Witch 163; B8667 no 9, Jehenne femme Demenge le Maire, de La Chapelle",undirected,,{}
Jeanne,Demenge Claude,SPOUSE_OF,w164,1.0,"B 8677 no 10; Witch 164, Jeanne femme Demenge Claude Martin, de Mandray",undirected,,{}
Catherine,Villaume Jean,SPOUSE_OF,w167,1.0,"B 8677 no 13 and B 8680 no 1; witch 167, Catherine femme Villaume Jean Martin du",undirected,,{}
Laurence,Nicolas Viney,SPOUSE_OF,w168,1.0,"B 8678 no 1; witch 168, Laurence femme Nicolas Viney, du Faing (Ste Marguerite)",undirected,,{}
Libaire,Guillaume Bouchier,SPOUSE_OF,w171,1.0,"B 8678 no 4; witch 171, Libaire femme Guillaume Bouchier, de St Dié",undirected,,{}
Barbelline,Mengeon Jean,SPOUSE_OF,w174,1.0,"B 8680 no 4; witch 174, Barbelline femme Mengeon Jean de Mandray",undirected,,{}
Mongeatte,Claude Tendon,SPOUSE_OF,w175,1.0,"B 8680 no 5; witch 175, Mongeatte femme Claude Tendon, de Saulcy-sur-Meurthe",undirected,,{}
Barbelline,Holbin,SPOUSE_OF,w179,1.0,"B 8682 no 1; witch 179, Barbelline femme Holbin le Jalley, des Trois Maisons",undirected,,{}
Marie Alexey,Jean Chastellain,SPOUSE_OF,w180,1.0,"B 8682 no 2; witch 180, Marie Alexey femme Jean Chastellain, de Colroy",undirected,,{}
Didielle,Demenge Simmonel,SPOUSE_OF,w183,1.0,"B 8682 no 5; witch 183, Didielle femme Demenge Simmonel, de St Marguerite",undirected,,{}
Agathe,Colas Jobay,SPOUSE_OF,w185,1.0,"B 8682 no 7; witch 185, Agathe femme Colas Jobay du Faing",undirected,,{}
Claudatte,Jean Parmentier,SPOUSE_OF,w187,1.0,"B 8682 no 9; witch 187, Claudatte femme Jean Parmentier, de Ste Marguerite",undirected,,{}
Catherine,Jean Bertremin,SPOUSE_OF,w193,1.0,"B 8684 no 6. Witch 193, Catherine femme Jean Bertremin de Clefcy",undirected,,{}
Mengeatte,Jean Babé,SPOUSE_OF,w195,1.0,"B 8684 no 8. Witch 195, Mengeatte femme Jean Babé, de Sarupt",undirected,,{}
Mengeotte,Jacot Blaise,SPOUSE_OF,w199,1.0,"B 8687 no 1; witch 199, Mengeotte femme Jacot Blaise, du Viel Marché",undirected,,{}
Marguitte,Jean Jacquot,SPOUSE_OF,w200,1.0,"B 8687 no 2; witch 200, Marguitte femme Jean Jacquot, de la Vacherie",undirected,,{}
Claudette,Claudon Jacquemin,SPOUSE_OF,w201,1.0,"B 8687 no 3; witch 201, Claudette femme Claudon Jacquemin, du Vieux Marché",undirected,,{}
Penthecoste,Georgeon Didier,SPOUSE_OF,w202,1.0,"B 8687 no 4; witch 202, Penthecoste femme Georgeon Didier Miette de la Rochatte",undirected,,{}
Dieudonnée,Pierre Chrestien,SPOUSE_OF,w203,1.0,"B 8687 no 5; witch 203, Dieudonnée femme Pierre Chrestien de Moriviller",undirected,,{}
Aley,Jean Perrin,SPOUSE_OF,w206,1.0,"B 8687 no 8; witch 206, Aley femme Jean Perrin, du Mesnil",undirected,,{}
Babelon,Hanry Jean,SPOUSE_OF,w216,1.0,"B 8691 no 5; witch 216, Babelon femme Hanry Jean Hanry, of St Blaise",undirected,,{}
Marguitte,Dieudonné Marond,SPOUSE_OF,w218,1.0,"B 8691 no 8; witch 218, Marguitte femme Dieudonné Marond, de la Neveville-les-",undirected,,{}
Margueritte,Mongeon Colas,SPOUSE_OF,w219,1.0,"B 8691 no 7; witch 219, Margueritte femme Mongeon Colas Jacquat, de la",undirected,,{}
Mongeatte,Thoussainct,SPOUSE_OF,w223,1.0,"B 8691 no 12; witch 223, Mongeatte femme Thoussainct de Leuce, de la Neuveille-",undirected,,{}
Catherine,Didier Jean,SPOUSE_OF,w224,1.0,"B 8691 no 13; witch 224, Catherine femme Didier Jean Charpentier, de Remémont",undirected,,{}
Jaulne,Claudon Curien,SPOUSE_OF,w225,1.0,"B 8691 no 14; witch 225, Jaulne femme Claudon Curien, de St Blaise",undirected,,{}
Marion,Demenge Husson,SPOUSE_OF,w230,1.0,"B 8693 no 1; witch 230, Marion femme Demenge Husson, de Colroy",undirected,,{}
Barbelline,Didier Antoine,SPOUSE_OF,w232,1.0,"B 8693 no 3; witch 232; Barbelline femme Didier Antoine, d'Entre-deux-Eaux",undirected,,{}
Bernarde,Demenge Baille,SPOUSE_OF,w234,1.0,"B 8693 no 5; witch 234, Bernarde femme Demenge Baille, de la Neuveville-les-Raon",undirected,,{}
Colatte,Colas Bertrand,SPOUSE_OF,w236,1.0,"B 8700 no 1; witch 236, Colatte femme Colas Bertrand, du Vic, Ban-le-Duc de Clefcy",undirected,,{}
Claudette,Bastien Delat,SPOUSE_OF,w239,1.0,"B 8700 no 4; witch 239, Claudette femme Bastien Delat, de St Dié",undirected,,{}
Claudatte,Jean Claudel,SPOUSE_OF,w246,1.0,"B 8702 no 7; Witch 246, Claudatte femme Jean Claudel le Maimbourg, de Raves",undirected,,{}
Sebille,Etienne Pescheur,SPOUSE_OF,w247,1.0,"B 8702 no 8; witch 247, Sebille femme Etienne Pescheur, de La Neuveville-les-Raon",undirected,,{}
Jennon,Jean Pieron,SPOUSE_OF,w249,1.0,"B 8702 no 10; witch 249, Jennon femme Jean Pieron Geliat, de la Neuveville-les-Raon.",undirected,,{}
Marguitte Lairain,Mengeon Moullot,SPOUSE_OF,w250,1.0,"B 8702 no 11; witch 250, Marguitte Lairain femme Mengeon Moullot de la Vacherie",undirected,,{}
Franceatte,Nicolas Charier,SPOUSE_OF,w251,1.0,"Witch 251; B 8704 no 1, Franceatte femme Nicolas Charier, de la Neuveville les Raon",undirected,,{}
Georgeatte,Demenge Jean,SPOUSE_OF,w252,1.0,"B 8704 no 2. Witch 252: Georgeatte femme Demenge Jean Chopat, of La Neuveville-",undirected,,{}
Claudette,George Mengin,SPOUSE_OF,w253,1.0,"B 8707 no 1; witch 253, Claudette femme George Mengin, de la Bolle",undirected,,{}
Esnel,Demenge Bourrotte,SPOUSE_OF,w261,1.0,"B 8707 no 9; witch 261, Esnel femme Demenge Bourrotte, de l'Hoste du Bois (la Salle)",undirected,,{}
Agathe,Claudon Urbain,SPOUSE_OF,w262,1.0,"B 8708 no 1; witch 262, Agathe femme Claudon Urbain, de Sachemont",undirected,,{}
